timeRangeStartMillis,markerDurationMillis,heatMarkerIntensityScoreNormalized
0.0,6780.0,0.17566700749801065
6780.0,6780.0,0.07455726152029438
13560.0,6780.0,0.05265321145727176
20340.0,6780.0,0.03752996813580328
27120.0,6780.0,0.028697016424025883
33900.0,6780.0,0.01330632675325823
40680.0,6780.0,0.004925924743658279
47460.0,6780.0,0.002645301770213304
54240.0,6780.0,0.010650295557977075
61020.0,6780.0,0.017876236948267135
67800.0,6780.0,0.08703674601984471
74580.0,6780.0,0.15351457836596707
81360.0,6780.0,0.08468531655569338
88140.0,6780.0,0.056792716225346956
94920.0,6780.0,0.06833865766216284
101700.0,6780.0,0.05053733085362552
108480.0,6780.0,0.033648005175855665
115260.0,6780.0,0.007298240386751147
122040.0,6780.0,0.006978559303244429
128820.0,6780.0,0.0045205150791060985
135600.0,6780.0,0.02927523036321899
142380.0,6780.0,0.03956657086916111
149160.0,6780.0,0.01656481991363252
155940.0,6780.0,0.014276182510677514
162720.0,6780.0,0.017992266660062848
169500.0,6780.0,0.07134206586284876
176280.0,6780.0,0.20989843109634732
183060.0,6780.0,0.2628739229115615
189840.0,6780.0,0.15958342128880418
196620.0,6780.0,0.1807229404715771
203400.0,6780.0,0.21971329136549578
210180.0,6780.0,0.6530156630675202
216960.0,6780.0,1.0
223740.0,6780.0,0.619772248606737
230520.0,6780.0,0.3298049547784702
237300.0,6780.0,0.2605103160247115
244080.0,6780.0,0.22009693952466974
250860.0,6780.0,0.18356837450450514
257640.0,6780.0,0.10418023088832584
264420.0,6780.0,0.04501755795045264
271200.0,6780.0,0.04551975794844325
277980.0,6780.0,0.03451939115996141
284760.0,6780.0,0.06119214250257419
291540.0,6780.0,0.11357283368442232
298320.0,6780.0,0.020027581625035873
305100.0,6780.0,0.020946982973203562
311880.0,6780.0,0.014293338908836342
318660.0,6780.0,0.008099048355186555
325440.0,6780.0,0.0
332220.0,6780.0,0.0003636966508342962
339000.0,6780.0,0.0046133471567257976
345780.0,6780.0,0.01630374712767564
352560.0,6780.0,0.060722498713611364
359340.0,6780.0,0.07012539178795324
366120.0,6780.0,0.019444091989556638
372900.0,6780.0,0.025551176292447523
379680.0,6780.0,0.0375783039583573
386460.0,6780.0,0.06887955599027926
393240.0,6780.0,0.07428485993320114
400020.0,6780.0,0.020548297002568352
406800.0,6780.0,0.00814840193017372
413580.0,6780.0,0.01374699278635472
420360.0,6780.0,0.054767287998295965
427140.0,6780.0,0.11077174161173044
433920.0,6780.0,0.04823581576682248
440700.0,6780.0,0.00483973921254079
447480.0,6780.0,0.010995993123506726
454260.0,6780.0,0.04262219600080502
461040.0,6780.0,0.06382144508585003
467820.0,6780.0,0.03419495067440579
474600.0,6780.0,0.05546400036655704
481380.0,6780.0,0.04795851828610039
488160.0,6780.0,0.06964190300524965
494940.0,6780.0,0.035815236285647985
501720.0,6780.0,0.030215087645130534
508500.0,6780.0,0.02543092127608969
515280.0,6780.0,0.026447469022686996
522060.0,6780.0,0.023088512125048505
528840.0,6780.0,0.018720621337207654
535620.0,6780.0,0.00958872339324382
542400.0,6780.0,0.022631496774439885
549180.0,6780.0,0.042973311688617274
555960.0,6780.0,0.016087105318202732
562740.0,6780.0,0.019230013848020294
569520.0,6780.0,0.03324083892401361
576300.0,6780.0,0.025783544305697983
583080.0,6780.0,0.02657609156633779
589860.0,6780.0,0.04298817740199944
596640.0,6780.0,0.028450494827375626
603420.0,6780.0,0.04193292539085981
610200.0,6780.0,0.12228073537129386
616980.0,6780.0,0.1406250850290617
623760.0,6780.0,0.06424598730926215
630540.0,6780.0,0.050209786668230026
637320.0,6780.0,0.03983495485627042
644100.0,6780.0,0.06581707660755495
650880.0,6780.0,0.07653868011443431
657660.0,6780.0,0.13990283093209926
664440.0,6780.0,0.19974303026962492
671220.0,6780.0,0.07726310620784298
